Date,Division,Home Team,H,A,Away Team,Referee,Location,Tournament,Played,Reason
17-Jan,11.6 Boys Sat,Belmont FC,2,2,Rathcoole FC,-,Herbert Park,League,Y,
17-Jan,11.7 Boys Sat,Belmont FC,6,2,Dalkey United FC,-,Herbert Park,League,Y,
17-Jan,11.9 Boys Sat,Hartstown / Huntstown FC,1,3,Belmont FC,None,Hartstown Park,League,Y,
17-Jan,12.6 Boys Sat,Montpelier FC,2,1,Belmont FC,-,Grangegorman,League,Y,
17-Jan,12.8 Boys Sat,Templeogue United FC,2,4,Belmont FC,Phil Meehan,Templeogue United,League,Y,
17-Jan,13.2 Boys Sat,Belmont FC,,,St Mochtas FC,Amine Malek,Herbert Park,League,N,Weather
17-Jan,13.7 Boys Sat,Belmont FC,,,Wayside Celtic FC,Amine Malek,Herbert Park,League,N,Oppostion
24-Jan,10.10 Boys Sat,Belmont FC,5,4,Mount Merrion Youths FC,-,Herbert Park,League,Y,
24-Jan,10.4 Boys Sat,Belmont FC,3,4,St Joseph's AFC,-,Herbert Park,League,Y,
24-Jan,10.6 Boys Sat,Belmont FC,2,6,Rathcoole FC,-,Herbert Park,League,Y,
24-Jan,11.6 Boys Sat,Dunboyne FC,,,Belmont FC,-,Dunboyne,League,N,Weather
24-Jan,11.6.7 Boys Saturday Subsidary Cup,Firhouse Carmel FC,,,Belmont FC,Arturs Giriks,Firhouse CC,Cup,Y,
24-Jan,11.8/9 Boys Saturday Michael Griffin Cup (D8&D9),Finglas Celtic FC,4,5,Belmont FC,Ciaran Hempenstall,Kilshane road,Cup,Y,
